CVE,Code,Package,Version
CVE-2002-1090,1,libesmtp (PTS),1.0.6-4.3
CVE-2002-1124,2,purity,1-14.2
CVE-2002-1124,1,purity (PTS),1-19
CVE-2002-1146,2,bind,1:8.3.3
CVE-2002-1146,2,glibc,2.3
CVE-2002-1146,1,glibc (PTS),2.31-13+deb11u11
CVE-2002-1154,2,analog,2:5.23
CVE-2002-1154,1,analog (PTS),2:6.0-22
CVE-2002-1156,2,apache2,2.0.43
CVE-2002-1156,1,apache2 (PTS),2.4.62-1~deb11u1
CVE-2002-1158,2,canna,3.5b2-46.2
CVE-2002-1158,1,canna (PTS),3.7p3-16
CVE-2002-1159,2,canna,3.5b2-46.2
CVE-2002-1159,1,canna (PTS),3.7p3-16
CVE-2002-1165,2,sendmail,8.12.3-5
CVE-2002-1165,1,sendmail (PTS),8.15.2-22+deb11u3
CVE-2002-1170,2,net-snmp,5.0.6
CVE-2002-1170,1,net-snmp (PTS),5.9+dfsg-4+deb11u1
CVE-2002-1174,2,fetchmail,5.9.11-6.1
CVE-2002-1174,2,fetchmail-ssl,5.9.11-6.1
CVE-2002-1174,1,fetchmail (PTS),6.4.16-4+deb11u1
CVE-2002-1175,2,fetchmail,5.9.11-6.1
CVE-2002-1175,2,fetchmail-ssl,5.9.11-6.1
CVE-2002-1175,1,fetchmail (PTS),6.4.16-4+deb11u1
CVE-2002-1200,2,syslog-ng,1.5.15-1.1
CVE-2002-1200,1,syslog-ng (PTS),3.28.1-2+deb11u1
CVE-2002-1215,2,heartbeat,0.4.9.0l-7.2
CVE-2002-1215,1,heartbeat (PTS),1:3.0.6-11+deb11u1
CVE-2002-1216,2,tar,1.13.25
CVE-2002-1216,1,tar (PTS),1.34+dfsg-1+deb11u1
CVE-2002-1225,2,heimdal,0.4e-7.woody.4
CVE-2002-1225,1,heimdal (PTS),7.7.0+dfsg-2+deb11u3
CVE-2002-1226,2,heimdal,0.4e-7.woody.4
CVE-2002-1226,1,heimdal (PTS),7.7.0+dfsg-2+deb11u3
CVE-2002-1227,2,pam,(not affected)
CVE-2002-1227,1,pam (PTS),1.4.0-9+deb11u1
CVE-2002-1232,2,nis,3.9-6.1
CVE-2002-1232,1,nis (PTS),4.4
CVE-2002-1235,2,heimdal,0.4e-7.woody.5
CVE-2002-1235,2,krb4,1.1-8-2.2
CVE-2002-1235,2,krb5,1.2.4-5woody3
CVE-2002-1235,1,heimdal (PTS),7.7.0+dfsg-2+deb11u3
CVE-2002-1235,1,krb5 (PTS),1.18.3-6+deb11u5
CVE-2002-1271,2,libmailtools-perl,1.44-1woody1
CVE-2002-1271,1,libmailtools-perl (PTS),2.21-1
CVE-2002-1275,2,html2ps,1.0b3-1.1
CVE-2002-1275,1,html2ps (PTS),1.0b7-4
CVE-2002-1277,2,wmaker,0.80.0-4.1
CVE-2002-1277,1,wmaker (PTS),0.95.9-2
CVE-2002-1307,2,mhonarc,2.5.2-1.2
CVE-2002-1307,1,mhonarc (PTS),2.6.19-2.1
CVE-2002-1311,2,courier,0.37.3-2.3
CVE-2002-1311,1,courier (PTS),1.0.16-3
CVE-2002-1313,2,nullmailer,1.00RC5-16.1woody2
CVE-2002-1313,1,nullmailer (PTS),1:2.2-3
CVE-2002-1318,2,samba,2.2.3a-12
CVE-2002-1318,1,samba (PTS),2:4.13.13+dfsg-1~deb11u6
CVE-2002-1323,2,perl,5.6.1-8.2
CVE-2002-1323,1,perl (PTS),5.32.1-4+deb11u3
CVE-2002-1335,2,w3m,0.3-2.4
CVE-2002-1335,2,w3m-ssl,(unfixed)
CVE-2002-1335,2,w3mmee,0.3-2.4
CVE-2002-1335,1,w3m (PTS),0.5.3+git20210102-6+deb11u1
CVE-2002-1336,2,tightvnc,1.2.6-1
CVE-2002-1336,1,tightvnc (PTS),1:1.3.10-3
CVE-2002-1337,2,sendmail,8.12.3-5
CVE-2002-1337,2,sendmail-wide,8.12.3+3.5Wbeta-5.2
CVE-2002-1337,2,sendmail-wine,(unfixed)
CVE-2002-1337,1,sendmail (PTS),8.15.2-22+deb11u3
CVE-2002-1342,2,smb2www,980804-16.1
CVE-2002-1342,1,smb2www (PTS),980804-42
CVE-2002-1344,2,wget,1.8.1-6.1
CVE-2002-1344,1,wget (PTS),1.21-1+deb11u1
CVE-2002-1347,2,cyrus-sasl2,2.1.10-1
CVE-2002-1347,1,cyrus-sasl2 (PTS),2.1.27+dfsg-2.1+deb11u1
CVE-2002-1348,2,w3m,0.3-2.4
CVE-2002-1348,2,w3mmee,0.3-2.4
CVE-2002-1348,1,w3m (PTS),0.5.3+git20210102-6+deb11u1
CVE-2002-1350,2,tcpdump,3.6.2-2.2
CVE-2002-1350,1,tcpdump (PTS),4.99.0-2+deb11u1
CVE-2002-1365,2,fetchmail,5.9.11-6.2
CVE-2002-1365,1,fetchmail (PTS),6.4.16-4+deb11u1
CVE-2002-1366,2,cups,1.1.18-1
CVE-2002-1366,2,cupsys,1.1.14-4.3
CVE-2002-1366,1,cups (PTS),2.3.3op2-3+deb11u8
CVE-2002-1367,2,cups,1.1.18-1
CVE-2002-1367,2,cupsys,1.1.14-4.3
CVE-2002-1367,1,cups (PTS),2.3.3op2-3+deb11u8
CVE-2002-1368,2,cups,1.1.18-1
CVE-2002-1368,2,cupsys,1.1.14-4.3
CVE-2002-1368,1,cups (PTS),2.3.3op2-3+deb11u8
CVE-2002-1369,2,cups,1.1.18-1
CVE-2002-1369,2,cupsys,1.1.14-4.3
CVE-2002-1369,1,cups (PTS),2.3.3op2-3+deb11u8
CVE-2002-1371,2,cups,1.1.18-1
CVE-2002-1371,2,cupsys,1.1.14-4.3
CVE-2002-1371,1,cups (PTS),2.3.3op2-3+deb11u8
CVE-2002-1372,2,cups,1.1.18-1
CVE-2002-1372,2,cupsys,1.1.14-4.3
CVE-2002-1372,1,cups (PTS),2.3.3op2-3+deb11u8
CVE-2002-1377,2,vim,6.1.263-1
CVE-2002-1377,1,vim (PTS),2:8.2.2434-3+deb11u1
CVE-2002-1381,2,exim,3.36-14
CVE-2002-1381,2,exim4,4.11-0.0.1
CVE-2002-1381,1,exim4 (PTS),4.94.2-7+deb11u3
CVE-2002-1383,2,cups,1.1.18-1
CVE-2002-1383,2,cupsys,1.1.14-4.3
CVE-2002-1383,1,cups (PTS),2.3.3op2-3+deb11u8
CVE-2002-1384,2,cups,1.1.18-1
CVE-2002-1384,2,cupsys,1.1.14-4.3
CVE-2002-1384,2,xpdf,1.00-3.1
CVE-2002-1384,2,xpdf-i,2.01-2
CVE-2002-1384,1,cups (PTS),2.3.3op2-3+deb11u8
CVE-2002-1384,1,xpdf (PTS),3.04+git20210103-3
CVE-2002-1388,2,mhonarc,2.5.2-1.3
CVE-2002-1388,1,mhonarc (PTS),2.6.19-2.1
CVE-2002-1389,2,typespeed,0.4.1-2.1
CVE-2002-1389,1,typespeed (PTS),0.6.5-3
CVE-2002-1390,2,geneweb,4.06-2
CVE-2002-1390,1,geneweb (PTS),6.08+git20181019+dfsg-3
CVE-2002-1391,2,mgetty,1.1.30-1
CVE-2002-1391,1,mgetty (PTS),1.2.1-1.1
CVE-2002-1392,2,mgetty,1.1.30-1
CVE-2002-1392,1,mgetty (PTS),1.2.1-1.1
CVE-2002-1395,2,im,141-18.1
CVE-2002-1395,1,im (PTS),1:153-4
CVE-2002-1403,2,dhcpcd,1:1.3.22pl2-2
CVE-2002-1403,1,dhcpcd (PTS),1:10.1.0-1
CVE-2002-1405,2,lynx,2.8.3-1.1
CVE-2002-1405,2,lynx-ssl,2.8.3.1-1.1
CVE-2002-1405,1,lynx (PTS),2.9.0dev.6-3~deb11u1
CVE-2002-1424,2,mpack,1.5-9
CVE-2002-1424,1,mpack (PTS),1.6-17
CVE-2002-1425,2,mpack,1.5-7woody2
CVE-2002-1425,1,mpack (PTS),1.6-17
CVE-2002-1471,2,evolution,1.2.0-1
CVE-2002-1471,1,evolution (PTS),3.38.3-1+deb11u2
CVE-2002-1477,2,cacti,0.6.7-2.1
CVE-2002-1477,1,cacti (PTS),1.2.16+ds1-2+deb11u3
CVE-2002-1478,2,cacti,0.6.7-2.1
CVE-2002-1478,1,cacti (PTS),1.2.16+ds1-2+deb11u3
CVE-2002-1479,2,cacti,0.6.8-1
CVE-2002-1479,1,cacti (PTS),1.2.16+ds1-2+deb11u3
CVE-2002-1563,2,stunnel,2:3.24-1
CVE-2002-1563,2,stunnel4,4.04-1
CVE-2002-1563,1,stunnel4 (PTS),3:5.56+dfsg-10
CVE-2002-1565,2,wget,1.8.2-8
CVE-2002-1565,1,wget (PTS),1.21-1+deb11u1
CVE-2002-1566,2,netris,0.52-1
CVE-2002-1566,1,netris (PTS),0.52-10
CVE-2002-1568,2,openssl,0.9.6g-1
CVE-2002-1568,1,openssl (PTS),1.1.1w-0+deb11u1
CVE-2002-1569,2,gv,1:3.5.8-27
CVE-2002-1569,1,gv (PTS),1:3.7.4-2
CVE-2002-1580,2,cyrus-imapd,1.5.19-9.1
CVE-2002-1580,1,cyrus-imapd (PTS),3.2.6-2+deb11u2
CVE-2002-1592,2,apache2,2.0.36
CVE-2002-1592,1,apache2 (PTS),2.4.62-1~deb11u1
CVE-2002-1593,2,apache2,2.0.42
CVE-2002-1593,1,apache2 (PTS),2.4.62-1~deb11u1
CVE-2002-1653,2,cryptcat,20031202-2
CVE-2002-1653,1,cryptcat (PTS),20031202-4
CVE-2002-1697,2,vtun,2.6-1
CVE-2002-1697,1,vtun (PTS),3.0.4-2
CVE-2002-1746,2,vtun,2.5b2
CVE-2002-1746,1,vtun (PTS),3.0.4-2
CVE-2002-1747,2,vtun,2.5b2
CVE-2002-1747,1,vtun (PTS),3.0.4-2
CVE-2002-1755,2,tinc,1.0pre5
CVE-2002-1755,1,tinc (PTS),1.0.36-2
CVE-2002-1765,2,evolution,1.0.5
CVE-2002-1765,1,evolution (PTS),3.38.3-1+deb11u2
CVE-2002-1782,2,uw-imap,7:2002ddebian1-2
CVE-2002-1782,1,uw-imap (PTS),8:2007f~dfsg-7
CVE-2002-1788,2,nn,6.6.4-1
CVE-2002-1788,1,nn (PTS),6.7.3-14
CVE-2002-1827,2,sendmail,8.12-4
CVE-2002-1827,1,sendmail (PTS),8.15.2-22+deb11u3
CVE-2002-1850,2,apache2,2.0.42-1
CVE-2002-1850,1,apache2 (PTS),2.4.62-1~deb11u1
CVE-2002-1896,2,alsaplayer,0.99.72-1
CVE-2002-1896,1,alsaplayer (PTS),0.99.81-2
CVE-2002-1914,2,dump,0.4b31-1
CVE-2002-1914,1,dump (PTS),0.4b46-8
CVE-2002-1956,2,rox,1.3.0-1
CVE-2002-1956,1,rox (PTS),1:2.11-5
CVE-2002-1976,2,net-tools,(unfixed)
CVE-2002-1976,1,net-tools (PTS),1.60+git20181103.0eebece-1+deb11u1
CVE-2002-2016,2,user-mode-linux,2.4.17-9
CVE-2002-2016,1,user-mode-linux (PTS),5.10um3
CVE-2002-2047,2,sketch,0.6.13-1
CVE-2002-2047,1,sketch (PTS),1:0.3.7-12
CVE-2002-2097,2,maradns,0.9.01
CVE-2002-2097,1,maradns (PTS),2.0.13-1.4+deb11u1
CVE-2002-2102,2,jzlib,0.0.7
CVE-2002-2102,1,jzlib (PTS),1.1.3-2
CVE-2002-2196,2,samba,2.2.5
CVE-2002-2196,1,samba (PTS),2:4.13.13+dfsg-1~deb11u6
CVE-2002-2207,2,ssldump,0.9b3
CVE-2002-2207,1,ssldump (PTS),1.3-2
CVE-2002-2227,2,ssldump,0.9b3-1
CVE-2002-2227,1,ssldump (PTS),1.3-2
CVE-2002-2261,2,sendmail,8.12.7
CVE-2002-2261,1,sendmail (PTS),8.15.2-22+deb11u3
CVE-2002-2267,2,bogofilter,0.9.0.5
CVE-2002-2267,1,bogofilter (PTS),1.2.5-1
CVE-2002-2439,0,,
CVE-2002-2443,2,krb5,1.8.3+dfsg-4squeeze7
CVE-2002-2443,1,krb5 (PTS),1.18.3-6+deb11u5
CVE-2003-0015,2,cvs,1.11.1p1debian-8.1
CVE-2003-0015,1,cvs (PTS),2:1.12.13+real-28
CVE-2003-0020,2,apache,1.3.29.0.2-4
CVE-2003-0020,2,apache2,2.0.49
CVE-2003-0020,1,apache2 (PTS),2.4.62-1~deb11u1
CVE-2003-0021,2,eterm,0.9.2-1
CVE-2003-0021,1,eterm (PTS),0.9.6-6.1
CVE-2003-0028,2,dietlibc,0.12-2.5
CVE-2003-0028,2,glibc,2.2.5-11.5
CVE-2003-0028,2,krb5,1.2.4-5woody4
CVE-2003-0028,1,dietlibc (PTS),0.34~cvs20160606-12
CVE-2003-0028,1,glibc (PTS),2.31-13+deb11u11
CVE-2003-0028,1,krb5 (PTS),1.18.3-6+deb11u5
CVE-2003-0031,2,libmcrypt,2.5.0-1woody1
CVE-2003-0031,1,libmcrypt (PTS),2.5.8-3.4
CVE-2003-0032,2,libmcrypt,2.5.0-1woody1
CVE-2003-0032,1,libmcrypt (PTS),2.5.8-3.4
CVE-2003-0033,0,,
CVE-2003-0038,0,,
CVE-2003-0040,2,courier,0.37.3-3.3
CVE-2003-0040,2,courier-ssl,0.40.2-3
CVE-2003-0040,1,courier (PTS),1.0.16-3
CVE-2003-0042,0,,
CVE-2003-0044,0,,
CVE-2003-0045,0,,
CVE-2003-0048,2,putty,0.53-b-2003-01-04-1
CVE-2003-0048,1,putty (PTS),0.74-1+deb11u2
CVE-2003-0058,2,krb5,1.2.5-1
CVE-2003-0058,1,krb5 (PTS),1.18.3-6+deb11u5
CVE-2003-0059,2,krb5,1.2.5-1
CVE-2003-0059,1,krb5 (PTS),1.18.3-6+deb11u5
CVE-2003-0060,2,krb5,1.2.4
CVE-2003-0060,1,krb5 (PTS),1.18.3-6+deb11u5
CVE-2003-0068,2,eterm,0.9.2-0pre2002042903.3
CVE-2003-0068,1,eterm (PTS),0.9.6-6.1
CVE-2003-0069,2,putty,0.54-1
CVE-2003-0069,1,putty (PTS),0.74-1+deb11u2
CVE-2003-0070,2,vte,1:0.11.10-1
CVE-2003-0070,1,vte (PTS),1:0.28.2-6
CVE-2003-0072,2,krb5,1.2.4-5woody4
CVE-2003-0072,1,krb5 (PTS),1.18.3-6+deb11u5
CVE-2003-0074,2,plptools,0.12-0
CVE-2003-0074,1,plptools (PTS),1.0.13-2
CVE-2003-0078,2,openssl,0.9.6c-2.woody.2
CVE-2003-0078,1,openssl (PTS),1.1.1w-0+deb11u1
CVE-2003-0082,2,krb5,1.2.4-5woody4
CVE-2003-0082,1,krb5 (PTS),1.18.3-6+deb11u5
CVE-2003-0083,2,apache,1.3.25
CVE-2003-0083,2,apache2,2.0.46
CVE-2003-0083,1,apache2 (PTS),2.4.62-1~deb11u1
CVE-2003-0085,2,samba,2.2.3a-12.1
CVE-2003-0085,1,samba (PTS),2:4.13.13+dfsg-1~deb11u6
CVE-2003-0086,2,samba,2.2.3a-12.1
CVE-2003-0086,1,samba (PTS),2:4.13.13+dfsg-1~deb11u6
CVE-2003-0093,2,tcpdump,3.6.2-2.4
CVE-2003-0093,1,tcpdump (PTS),4.99.0-2+deb11u1
CVE-2003-0098,2,apcupsd,3.8.5-1.1.1
CVE-2003-0098,1,apcupsd (PTS),3.14.14-3.1
CVE-2003-0099,2,apcupsd,3.8.5-1.1.1
CVE-2003-0099,1,apcupsd (PTS),3.14.14-3.1
CVE-2003-0102,2,file,3.37-3.1.woody.1
CVE-2003-0102,1,file (PTS),1:5.39-3+deb11u1
CVE-2003-0107,2,zlib,1:1.1.4-10
CVE-2003-0107,1,zlib (PTS),1:1.2.11.dfsg-2+deb11u2
CVE-2003-0108,2,tcpdump,3.6.2-2.3
CVE-2003-0108,1,tcpdump (PTS),4.99.0-2+deb11u1
CVE-2003-0120,2,mhc,0.25+20010625-7.1
CVE-2003-0120,1,mhc (PTS),1.2.4-2
CVE-2003-0128,2,evolution,1.2.3
CVE-2003-0128,1,evolution (PTS),3.38.3-1+deb11u2
CVE-2003-0129,2,evolution,1.2.3
CVE-2003-0129,1,evolution (PTS),3.38.3-1+deb11u2
CVE-2003-0130,2,evolution,1.2.3
CVE-2003-0130,1,evolution (PTS),3.38.3-1+deb11u2
CVE-2003-0131,2,openssl,0.9.6c-2.woody.3
CVE-2003-0131,2,openssl096,0.9.6j-1
CVE-2003-0131,1,openssl (PTS),1.1.1w-0+deb11u1
CVE-2003-0132,2,apache2,2.0.45
CVE-2003-0132,1,apache2 (PTS),2.4.62-1~deb11u1
CVE-2003-0133,2,evolution,1.2.4
CVE-2003-0133,1,evolution (PTS),3.38.3-1+deb11u2
CVE-2003-0134,2,apache2,2.0.46
CVE-2003-0134,1,apache2 (PTS),2.4.62-1~deb11u1
CVE-2003-0136,2,lprng,3.8.10-1.2
CVE-2003-0136,1,lprng (PTS),3.8.B-5
CVE-2003-0138,2,heimdal,0.4e-7.woody.8
CVE-2003-0138,2,krb4,1.1-8-2.3
CVE-2003-0138,2,krb5,1.2.4-5woody4
CVE-2003-0138,1,heimdal (PTS),7.7.0+dfsg-2+deb11u3
CVE-2003-0138,1,krb5 (PTS),1.18.3-6+deb11u5
CVE-2003-0139,2,krb4,1.1-8-2.3
CVE-2003-0139,2,krb5,1.2.4-5woody4
CVE-2003-0139,1,krb5 (PTS),1.18.3-6+deb11u5
CVE-2003-0140,2,mutt,1.3.28-2.1
CVE-2003-0140,1,mutt (PTS),2.0.5-4.1+deb11u3
CVE-2003-0144,2,lpr,2000.05.07-4.3
CVE-2003-0144,2,lpr-ppd,0.72-2.1
CVE-2003-0144,1,lpr (PTS),1:2008.05.17.3
CVE-2003-0145,2,tcpdump,3.6.2-2.4
CVE-2003-0145,1,tcpdump (PTS),4.99.0-2+deb11u1
CVE-2003-0146,2,lpr,1:2000.05.07-4.20
CVE-2003-0146,2,netpbm-free,2:9.20-8.2
CVE-2003-0146,1,lpr (PTS),1:2008.05.17.3
CVE-2003-0146,1,netpbm-free (PTS),2:10.0-15.4
CVE-2003-0147,2,openssl,0.9.6c-2.woody.3
CVE-2003-0147,2,openssl096,0.9.6j-1
CVE-2003-0147,1,openssl (PTS),1.1.1w-0+deb11u1
CVE-2003-0161,2,sendmail,8.12.3-6.3
CVE-2003-0161,2,sendmail-wide,8.12.3+3.5Wbeta-5.4
CVE-2003-0161,1,sendmail (PTS),8.15.2-22+deb11u3
CVE-2003-0165,2,eog,2.2.1
CVE-2003-0165,1,eog (PTS),3.38.2-1
CVE-2003-0167,2,balsa,1.2.4-2.2
CVE-2003-0167,2,mutt,1.3.28-2.2
CVE-2003-0167,1,balsa (PTS),2.6.1-1
CVE-2003-0167,1,mutt (PTS),2.0.5-4.1+deb11u3
CVE-2003-0173,2,xfsdump,2.0.1-2
CVE-2003-0173,1,xfsdump (PTS),3.1.9+0
